name,distance,street,latitude,longitude,categories
St Lawrence Restaurant,225,269 Powell St,49.283299,-123.098036,French Restaurant
Raga Restaurant,220,1177 Broadway W,49.263661,-123.130512,"Indian Restaurant,Pakistani Restaurant"
Peaceful Restaurant,513,532 Broadway W,49.263051,-123.116024,Dim Sum Restaurant
Bao Down Gastropub + Raw Bar,106,115 2nd Ave W,49.2695,-123.107408,"Bar,Asian Restaurant"
Sing Sing Beer Bar,330,2718 Main St,49.260652,-123.100815,"Beer Bar,Restaurant"
Peaceful Restaurant,430,43 5th Ave E,49.266595,-123.103754,Chinese Restaurant
Shiro Japanese Restaurant,391,3096 Cambie St,49.257932,-123.114615,"Diner,Sushi Restaurant"
Dynasty Seafood Restaurant 皇朝海鮮酒家,243,777 Broadway W,49.263675,-123.12143,Chinese Restaurant
Raga Restaurant,171,1177 Broadway W,49.263661,-123.130512,"Indian Restaurant,Pakistani Restaurant"
Phnom Penh,610,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Peaceful Restaurant,503,43 5th Ave E,49.266595,-123.103754,Chinese Restaurant
The Lobby Lounge and Raw Bar,116,1038 Canada Pl,49.288316,-123.116881,"Music Venue,Lounge,Sushi Restaurant"
Chewie's Steam & Oyster Bar,90,2201 1 St Ave W,49.271063,-123.155394,"Cajun and Creole Restaurant,Seafood Restaurant,South American Restaurant"
Papaya Hut Restaurant,231,2435 Burrard St,49.264119,-123.14596,"Pizzeria,Fast Food Restaurant,Thai Restaurant"
Nirvana Restaurant,138,2313 Main St,49.264411,-123.101216,Indian Restaurant
Miko Sushi Japanese Restaurant,133,1335 Robson St,49.287422,-123.128893,Sushi Restaurant
Lift Bar Grill View,488,333 Menchions Mews,49.293598,-123.129664,"Lounge,American Restaurant,Seafood Restaurant"
Raga Restaurant,539,1177 Broadway W,49.263661,-123.130512,"Indian Restaurant,Pakistani Restaurant"
Phnom Penh,213,244 E. Georgia St,49.278403,-123.098188,"Cambodian Restaurant,Chinese Restaurant,Vietnamese Restaurant"
Keefer Bar,511,135 Keefer St,49.279619,-123.101293,"Cocktail Bar,Lounge,Restaurant"
Pink Pearl Chinese Seafood Restaurant,374,1132 Hastings St E,49.280677,-123.080369,"Fish and Chips Shop,Cantonese Restaurant,Dim Sum Restaurant"
