empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,extra.has_ebikes,noOf_normal_bikes,extra.renting,returning,total_slots,key
11,3,49.258425,-123.100792,14th & Main,2024-03-11T17:04:43.362000Z,1,True,2,True,True,14,69
14,4,49.270905,-123.126006,David Lam Park,2024-03-11T17:04:43.404000Z,0,True,4,True,True,18,70
8,10,49.273568,-123.129935,Beach & Seymour,2024-03-11T17:04:43.414000Z,2,True,8,True,True,18,71
15,2,49.277141,-123.122589,Richards & Helmcken,2024-03-11T17:04:44.088000Z,0,True,2,True,True,18,72
11,5,49.267859,-123.145782,Burrard & 4th,2024-03-11T17:04:44.100000Z,2,True,3,True,True,16,73
11,5,49.265336,-123.145823,Burrard & 7th,2024-03-11T17:04:43.456000Z,2,True,3,True,True,16,74
12,2,49.267628,-123.127698,South False Creek Seawall,2024-03-11T17:04:43.457000Z,0,True,2,True,True,14,75
9,7,49.275938,-123.145939,Chestnut & McNicoll,2024-03-11T17:04:43.462000Z,0,True,7,True,True,16,76
1,17,49.2756,-123.102661,Creekside Park North,2024-03-11T17:04:43.465000Z,4,True,13,True,True,18,77
0,20,49.284157,-123.099917,Alexander & Main,2024-03-11T17:04:44.033000Z,5,True,15,True,True,20,78
12,8,49.258924,-123.152591,Arbutus Greenway & 14th,2024-03-11T17:04:44.111000Z,0,True,8,True,True,20,79
1,15,49.266774,-123.141135,Arbutus Greenway & Fir,2024-03-11T17:04:44.112000Z,1,True,14,True,True,16,80
27,9,49.273355,-123.154493,Kitsilano Beach Park,2024-03-11T17:04:44.104000Z,1,True,8,True,True,36,81
21,9,49.276144,-123.151272,Arbutus & McNicoll,2024-03-11T17:04:44.105000Z,0,True,9,True,True,30,82
10,8,49.268339,-123.157443,Vine & 4th,2024-03-11T17:04:44.145000Z,0,True,8,True,True,18,83
3,11,49.284062,-123.095097,Alexander & Dunlevy,2024-03-11T17:04:43.925000Z,3,True,8,True,True,14,84
3,11,49.261742,-123.13148,Alder & 11th,2024-03-11T17:04:44.089000Z,0,True,11,True,True,14,85
11,3,49.262206,-123.109091,10th & Columbia,2024-03-11T17:04:43.752000Z,0,True,3,True,True,14,86
13,10,49.27023,-123.10651,1st & Manitoba,2024-03-11T17:04:43.760000Z,5,True,5,True,True,28,87
15,5,49.262062,-123.104656,10th & Ontario,2024-03-11T17:04:43.761000Z,0,True,5,True,True,20,88
8,8,49.27033,-123.10275,Quebec & 1st,2024-03-11T17:04:43.762000Z,0,True,8,True,True,18,89
10,4,49.258902,-123.109596,Columbia & 14th,2024-03-11T17:04:43.778000Z,3,True,1,True,True,14,90
4,10,49.265071,-123.123864,7th & Laurel,2024-03-11T17:04:43.715000Z,0,True,10,True,True,14,91
8,8,49.265198,-123.131043,7th &  Alder,2024-03-11T17:04:43.710000Z,1,True,7,True,True,16,92
1,14,49.273691,-123.102232,Science World,2024-03-11T17:04:43.712000Z,0,True,14,True,True,16,93
10,10,49.2685027,-123.0975014,1st & Scotia,2024-03-11T17:04:43.721000Z,1,True,9,True,True,20,94
1,17,49.288682,-123.11818,Rogers Tower,2024-03-11T17:04:43.621000Z,7,True,10,True,True,18,95
20,0,49.271741,-123.155421,York & Yew,2024-03-11T17:04:43.608000Z,0,True,0,False,False,20,96
