empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,extra.has_ebikes,noOf_normal_bikes,extra.renting,returning,total_slots,key,POI,rating_avg_bar,count_bar,rating_avg_rest,count_rest
8,6,49.275882,-123.071865,Britannia Parking Lot,2024-03-11T17:04:43.465000Z,1,True,5,True,True,14,111,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.9625000000000004,8.0,3.858333333333333,12.0
3,11,49.273777,-123.092723,Thornton & National,2024-03-11T17:04:43.517000Z,1,True,10,True,True,14,112,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.7937499999999997,16.0,4.0,4.0
15,13,49.265005,-123.079481,Keith & 6th,2024-03-11T17:04:43.946000Z,2,True,11,True,True,28,113,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.788888888888889,9.0,3.8454545454545452,11.0
5,9,49.271377,-123.069416,Grant & Commercial,2024-03-11T17:04:44.037000Z,0,True,9,True,True,14,114,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.566666666666667,9.0,3.7454545454545456,11.0
18,4,49.268616,-123.069908,2nd & Commercial,2024-03-11T17:04:44.014000Z,2,True,2,True,True,22,115,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.677777777777778,9.0,3.8,11.0
8,6,49.266969,-123.069936,4th & Commercial,2024-03-11T17:04:44.017000Z,0,True,6,True,True,14,116,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.6399999999999997,10.0,3.85,10.0
17,3,49.263242,-123.070521,8th & Commercial,2024-03-11T17:04:43.626000Z,0,True,3,True,True,20,117,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.6555555555555554,9.0,3.8,11.0
19,7,49.261403,-123.070102,10th & Commercial,2024-03-11T17:04:44.032000Z,1,True,6,True,True,26,118,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.4,6.0,3.742857142857143,14.0
9,5,49.261263,-123.073707,Woodland & 10th,2024-03-11T17:04:43.896000Z,0,True,5,True,True,14,119,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.5799999999999996,5.0,3.766666666666667,12.0
8,10,49.262242,-123.081459,Glen & Broadway,2024-03-11T17:04:43.888000Z,0,True,10,True,True,18,120,"{""key"":{""4703"":250},""name"":{""4703"":""Sports Illustrated Clubhouse""},""review_count"":{""4703"":3},""rating"":{""4703"":4.7},""latitude"":{""4703"":49.254274},""longitude"":{""4703"":-123.23564},""street_name"":{""4703"":""3340 Shrum Lane""},""distance"":{""4703"":69.3162983339},""pricing"":{""4703"":null},""categories"":{""4703"":""sportsbars""}}",3.8000000000000003,7.0,3.9000000000000004,13.0
