key,name,review_count,rating,latitude,longitude,street_name,distance,pricing,categories
126,The Fish Counter,359,4.4,49.25076,-123.10136,3825 Main Street,430.8089306353737,$$,"fishnchips,seafood"
126,Suyo Modern Peruvian,28,4.6,49.2540292,-123.1010659958052,3475 Main Street,74.6941322949978,,"peruvian,cocktailbars"
127,Burgoo Bistros,503,3.9,49.25765498958033,-123.100815,3096 Main Street,325.4610015284123,$$,"comfortfood,bistros"
127,Published On Main,126,4.4,49.25283186017385,-123.10116032897228,3593 Main Street,543.1218118505437,,"tapasmallplates,wine_bars,cocktailbars"
127,Anh and Chi,669,4.0,49.2550314422938,-123.100882202153,3388 Main Street,362.91886187823127,$$$,"vietnamese,cocktailbars"
127,The Cascade Room,235,3.9,49.2617,-123.10062,2616 Main Street,637.1314364462035,$$,"pubs,newcanadian,cocktailbars"
127,Sal y Limón,652,4.0,49.2569043786921,-123.08924632997,701 Kingsway Street,532.671411727994,$$,mexican
127,The Watson,7,4.7,49.25774,-123.10083,3080 Main Street,329.3769364635051,,cocktailbars
127,Los Cuervos Taqueria Y Cantina,184,3.9,49.2574755005862,-123.091043941677,603 Kingsway,410.9881313279953,$$,"mexican,latin"
127,Good Co. Bars,82,3.2,49.2590286,-123.1008305,2904 Main Street,403.2200832499089,$$,bars
127,Sun Sui Wah Seafood Restaurant,560,3.6,49.25053,-123.1006,3888 Main Street,763.9958185009383,$$,"seafood,dimsum,cantonese"
127,Key Party,27,4.4,49.26448,-123.10132,2303 Main Street,923.4158014141613,,lounges
127,The Farmhouse,19,4.1,49.26185879464837,-123.09710762514682,352 East 10th Avenue,575.578168780183,,"italian,wine_bars"
127,The Biltmore Cabaret,93,3.9,49.2603124,-123.0964455,2755 Prince Edward Street,420.72286623901437,$,"musicvenues,bars"
127,El Camino's,203,3.5,49.2561154,-123.1010503,3250 Main Street,315.1678110852441,$$,latin
127,Hail Mary's,16,4.3,49.2623351,-123.0894392,670 E Broadway,811.538533318898,,"newcanadian,cocktailbars"
127,Uncle Abe's,17,3.5,49.258107,-123.100949,3032 Main Street,346.27771956914427,,tradamerican
127,Browns Crafthouse,22,4.0,49.256437,-123.100887,202 East 16th Avenue,316.8077204399566,,bars
127,Osteria Savio Volpe,437,4.2,49.2574913,-123.0909344,615 Kingsway,419.12956898389854,$$$,italian
127,Nammos Estiatorio,138,3.9,49.24949186070796,-123.0898917758554,3980 Fraser St,936.4356305499529,$$,"tapasmallplates,greek,breakfast_brunch"
127,Hyde,56,3.5,49.2586938,-123.1009313,2960 Main Street,386.2799436440286,$$,"burgers,tapas"
127,Heritage Hall,25,4.2,49.2572,-123.10085,3102 Main Street,317.4811615538413,,venues
128,Burgoo Bistros,503,3.9,49.25765498958033,-123.100815,3096 Main Street,334.09037667482716,$$,"comfortfood,bistros"
128,The Cascade Room,235,3.9,49.2617,-123.10062,2616 Main Street,494.43670135137666,$$,"pubs,newcanadian,cocktailbars"
128,Published On Main,126,4.4,49.25283186017385,-123.10116032897228,3593 Main Street,706.6129497625748,,"tapasmallplates,wine_bars,cocktailbars"
128,The Farmhouse,19,4.1,49.26185879464837,-123.09710762514682,352 East 10th Avenue,393.9270693298097,,"italian,wine_bars"
128,Sal y Limón,652,4.0,49.2569043786921,-123.08924632997,701 Kingsway Street,539.1748377294696,$$,mexican
128,Anh and Chi,669,4.0,49.2550314422938,-123.100882202153,3388 Main Street,495.1149039674366,$$$,"vietnamese,cocktailbars"
128,The Watson,7,4.7,49.25774,-123.10083,3080 Main Street,332.92656959318145,,cocktailbars
128,Los Cuervos Taqueria Y Cantina,184,3.9,49.2574755005862,-123.091043941677,603 Kingsway,396.29847624123005,$$,"mexican,latin"
128,Good Co. Bars,82,3.2,49.2590286,-123.1008305,2904 Main Street,334.6627367923132,$$,bars
128,Key Party,27,4.4,49.26448,-123.10132,2303 Main Street,762.3409039500699,,lounges
128,The Biltmore Cabaret,93,3.9,49.2603124,-123.0964455,2755 Prince Edward Street,236.42369461345973,$,"musicvenues,bars"
128,Sun Sui Wah Seafood Restaurant,560,3.6,49.25053,-123.1006,3888 Main Street,941.6993011835931,$$,"seafood,dimsum,cantonese"
128,El Camino's,203,3.5,49.2561154,-123.1010503,3250 Main Street,409.91202541759424,$$,latin
128,Hail Mary's,16,4.3,49.2623351,-123.0894392,670 E Broadway,665.965174701285,,"newcanadian,cocktailbars"
128,Uncle Abe's,17,3.5,49.258107,-123.100949,3032 Main Street,326.85966093767826,,tradamerican
128,Osteria Savio Volpe,437,4.2,49.2574913,-123.0909344,615 Kingsway,403.5884249214657,$$$,italian
128,Browns Crafthouse,22,4.0,49.256437,-123.100887,202 East 16th Avenue,395.25652619482156,,bars
128,Hyde,56,3.5,49.2586938,-123.1009313,2960 Main Street,335.57198583562035,$$,"burgers,tapas"
128,Novella Coffee Bar,15,4.0,49.261335,-123.100649,2650 Main Street,461.97271423438013,,"breakfast_brunch,coffee,cocktailbars"
128,Nammos Estiatorio,138,3.9,49.24949186070796,-123.0898917758554,3980 Fraser St,1090.6143891708857,$$,"tapasmallplates,greek,breakfast_brunch"
129,Burgoo Bistros,503,3.9,49.25765498958033,-123.100815,3096 Main Street,596.0506247611605,$$,"comfortfood,bistros"
129,Sal y Limón,652,4.0,49.2569043786921,-123.08924632997,701 Kingsway Street,334.10851915925434,$$,mexican
